Priority,Company,Employees Snapshot,Industry,Region,Owner Role,Contact Route,Qualification Reason,Personalization Evidence Snapshot,Evidence Source URL,Public Revalidation Gate,Public Revalidation Note,Current Sends,Current Replies,Current Qualified Meetings,Status,Next Action
A,Turnitin,985 (enrichment snapshot; revalidate before launch),Software / EdTech,Global / UK,HR Director - People Partnership,Business email + LinkedIn resolved in private buyer pack; personal contact details omitted from public proof,Exact 100–999 band; senior HR owner; global remote-first employer with active jobs and distributed teams.,Turnitin's careers page is actively inviting candidates to view all jobs and describes globally distributed teams across 170 countries.,https://in.turnitin.com/about/careers,CONFIRMED_2026-08-30,Official careers page still exposes global/remote-first employment and job browsing.,0,0,0,READY_AFTER_CLIENT_DESK_FIT,Client desk-fit approval + source/contact revalidation immediately before launch
A,BrightEdge,640 (enrichment snapshot; revalidate before launch),Software / AI SEO,US / UK,Head of Talent Acquisition,Business email + LinkedIn resolved in private buyer pack; personal contact details omitted from public proof,Exact 100–999 band; direct TA owner; current open positions and a defined multi-step recruiting process.,BrightEdge is advertising current open positions while positioning itself around AI SEO growth; its careers page documents a recruiter-led hiring process.,https://www.brightedge.com/careers,CONFIRMED_2026-08-30,Official careers page still advertises open positions and recruiter-led process.,0,0,0,READY_AFTER_CLIENT_DESK_FIT,Client desk-fit approval + source/contact revalidation immediately before launch
A,Allica Bank,909 (enrichment snapshot; revalidate before launch),Financial Services / Fintech,UK,Head of Recruitment,Business email + LinkedIn resolved in private buyer pack; personal contact details omitted from public proof,Exact 100–999 band; recruitment head; current vacancies; fast-growth company with concentrated UK hiring ownership.,Allica calls itself the UK's fastest-ever-growing fintech and is advertising current vacancies. Nick previously published hiring-volume and time-to-hire metrics.,https://www.allica.bank/careers,CONFIRMED_2026-08-30,Official careers page still exposes open roles and growth hiring context.,0,0,0,READY_AFTER_CLIENT_DESK_FIT,Client desk-fit approval + source/contact revalidation immediately before launch
B,Stack Overflow,620 (enrichment snapshot; revalidate before launch),Software / Developer Platform,US / UK,"Senior Manager, Talent and Culture",Business email + LinkedIn resolved in private buyer pack; personal contact details omitted from public proof,Exact 100–999 band; senior talent/culture owner; strong employer-brand signal; lower immediate priority because public current hiring volume is less clear.,Tom publicly highlighted Stack Overflow's 2026 Built In Best Places to Work recognition and directed candidates to the careers surface.,https://stackoverflow.co/company/work-here/,HOLD_2026-08-30,Official careers page is live but currently shows no jobs found; do not launch on hiring-volume premise without a fresher trigger.,0,0,0,HOLD,Client desk-fit approval + source/contact revalidation immediately before launch
B,Eventbrite,933 (enrichment snapshot; revalidate before launch),Software / Events,Global / Europe,Human Resources Business Partner | Europe HR Lead,Business email + LinkedIn resolved in private buyer pack; personal contact details omitted from public proof,Exact 100–999 band; Europe HR owner; global distributed workforce and renewed-product-growth narrative; verify desk fit before full-volume outreach.,"Eventbrite's careers surface describes renewed investment, a bold strategy and new products, with a distributed global team and open-position workflow.",https://www.eventbritecareers.com/,REVALIDATE_BEFORE_LAUNCH,"The supplied careers source is preserved, but the exact renewed-investment/new-product hiring trigger was not independently revalidated in this pass.",0,0,0,REVALIDATE,Client desk-fit approval + source/contact revalidation immediately before launch
A,Unlimit,581 (enrichment snapshot; revalidate before launch),Financial Services / Payments,UK / Global,Talent Acquisition Manager,Business email + LinkedIn resolved in private buyer pack; personal contact details omitted from public proof,Exact 100–999 band; TA Manager; active multi-country hiring and a dedicated Talent Acquisition category on careers.,"Unlimit labels itself a hypergrowth fintech employer and lists active roles across multiple countries, including an HR/Talent Acquisition category.",https://www.unlimit.com/careers/,CONFIRMED_2026-08-30,Official careers page exposes active multi-country roles and a Talent Acquisition category.,0,0,0,READY_AFTER_CLIENT_DESK_FIT,Client desk-fit approval + source/contact revalidation immediately before launch
A,CEX.IO,233 (enrichment snapshot; revalidate before launch),Financial Services / Crypto,UK / Global,Chief People Officer,Business email + LinkedIn resolved in private buyer pack; personal contact details omitted from public proof,Exact 100–999 band; executive People owner; explicit 'We are hiring' careers surface with open-position handoff.,CEX.IO's official hiring page explicitly says 'Time to make a move? Join us!' and routes candidates to open positions.,https://cex.io/we-are-hiring,CONFIRMED_2026-08-30,Official hiring page still routes candidates to open positions.,0,0,0,READY_AFTER_CLIENT_DESK_FIT,Client desk-fit approval + source/contact revalidation immediately before launch
A,SevenRooms,388 (enrichment snapshot; revalidate before launch),Hospitality Technology,US / UK / Global,"HR Director, International",Business email + LinkedIn resolved in private buyer pack; personal contact details omitted from public proof,Exact 100–999 band; international HR director; now a DoorDash company with hiring across UK/US/UAE/Singapore/Australia.,"DoorDash's SevenRooms careers page states it is hiring across the US, UK, UAE, Singapore and Australia.",https://careersatdoordash.com/career-areas/sevenrooms/,CONFIRMED_2026-08-30,DoorDash careers page still says SevenRooms is hiring across multiple countries and lists live roles.,0,0,0,READY_AFTER_CLIENT_DESK_FIT,Client desk-fit approval + source/contact revalidation immediately before launch
A,Neko Health,717 (enrichment snapshot; revalidate before launch),Healthcare Technology,UK / Europe / US,Executive Talent Acquisition Lead,Business email + LinkedIn resolved in private buyer pack; personal contact details omitted from public proof,"Exact 100–999 band; executive TA owner; unusually strong current hiring load across technical, clinical and business disciplines.","Neko says it is hiring across clinical, technical and business roles in Sweden, UK, US and Germany; its current careers page shows dozens of roles including London.",https://www.nekohealth.com/us/en/careers,CONFIRMED_2026-08-30,"Official careers page lists extensive clinical, technical and business hiring across multiple countries.",0,0,0,READY_AFTER_CLIENT_DESK_FIT,Client desk-fit approval + source/contact revalidation immediately before launch
B,Prodrive,552 (enrichment snapshot; revalidate before launch),Automotive / Motorsport,UK,HR Business Partner,Business email + LinkedIn resolved in private buyer pack; personal contact details omitted from public proof,Exact 100–999 band; functional HR owner; active vacancies across engineering/finance/HR/technician categories; lower priority than direct TA heads.,Prodrive's live careers site says it is looking for talented team players and exposes current vacancies across multiple functions.,https://careers.prodrive.com/,CONFIRMED_2026-08-30,Official careers site still exposes live vacancies across functions.,0,0,0,READY_AFTER_CLIENT_DESK_FIT,Client desk-fit approval + source/contact revalidation immediately before launch
